Opt. Const. of Cauchy Film vs. nm,,,
nm,n,,
749.146057,1.452261,7.49146E-07,1.452261
750.726685,1.452227,7.50727E-07,1.452227
752.307251,1.452192,7.52307E-07,1.452192
753.887634,1.452158,7.53888E-07,1.452158
755.467896,1.452124,7.55468E-07,1.452124
757.047974,1.45209,7.57048E-07,1.45209
758.627991,1.452057,7.58628E-07,1.452057
760.207825,1.452023,7.60208E-07,1.452023
761.787476,1.45199,7.61787E-07,1.45199
763.367065,1.451957,7.63367E-07,1.451957
764.946411,1.451924,7.64946E-07,1.451924
766.525635,1.451891,7.66526E-07,1.451891
768.104736,1.451859,7.68105E-07,1.451859
769.683655,1.451827,7.69684E-07,1.451827
771.262451,1.451795,7.71262E-07,1.451795
772.841064,1.451763,7.72841E-07,1.451763
774.419556,1.451731,7.7442E-07,1.451731
775.997925,1.451699,7.75998E-07,1.451699
777.57605,1.451668,7.77576E-07,1.451668
779.154114,1.451637,7.79154E-07,1.451637
780.731995,1.451606,7.80732E-07,1.451606
782.309692,1.451575,7.8231E-07,1.451575
783.887268,1.451545,7.83887E-07,1.451545
785.464661,1.451514,7.85465E-07,1.451514
787.04187,1.451484,7.87042E-07,1.451484
788.619019,1.451454,7.88619E-07,1.451454
790.195923,1.451424,7.90196E-07,1.451424
791.772705,1.451394,7.91773E-07,1.451394
793.349304,1.451365,7.93349E-07,1.451365
794.92572,1.451335,7.94926E-07,1.451335
796.502075,1.451306,7.96502E-07,1.451306
798.078186,1.451277,7.98078E-07,1.451277
799.654114,1.451248,7.99654E-07,1.451248
801.229858,1.45122,8.0123E-07,1.45122
802.805542,1.451191,8.02806E-07,1.451191
804.380981,1.451163,8.04381E-07,1.451163
805.956299,1.451135,8.05956E-07,1.451135
807.531372,1.451106,8.07531E-07,1.451106
809.106384,1.451079,8.09106E-07,1.451079
810.681152,1.451051,8.10681E-07,1.451051
812.255798,1.451023,8.12256E-07,1.451023
813.8302,1.450996,8.1383E-07,1.450996
815.404541,1.450969,8.15405E-07,1.450969
816.978638,1.450941,8.16979E-07,1.450941
818.552551,1.450914,8.18553E-07,1.450914
820.126343,1.450888,8.20126E-07,1.450888
821.69989,1.450861,8.217E-07,1.450861
823.273315,1.450834,8.23273E-07,1.450834
824.846558,1.450808,8.24847E-07,1.450808
826.419617,1.450782,8.2642E-07,1.450782
827.992493,1.450756,8.27992E-07,1.450756
