Opt. Const. of Cauchy Film vs. nm,
nm,n
1150.236206,1.447405
1153.698608,1.447383
1157.160889,1.447361
1160.623291,1.44734
1164.085571,1.447318
1167.547729,1.447297
1171.009888,1.447276
1174.471924,1.447255
1177.93396,1.447235
1181.395996,1.447214
1184.857788,1.447194
1188.31958,1.447174
1191.781372,1.447154
1195.243042,1.447134
1198.704712,1.447114
1202.166138,1.447095
1205.627563,1.447076
1209.088989,1.447057
1212.550171,1.447038
1216.011353,1.447019
1219.472412,1.447
1222.93335,1.446982
1226.394287,1.446963
1229.855225,1.446945
1233.315796,1.446927
1236.776489,1.446909
1240.236938,1.446892
1243.697266,1.446874
1247.157593,1.446857
1250.617798,1.446839
1254.077881,1.446822
1257.537842,1.446805
1260.997559,1.446788
1264.457275,1.446772
1267.91687,1.446755
1271.376343,1.446738
1274.835693,1.446722
1278.294922,1.446706
1281.754028,1.44669
1285.213013,1.446674
1288.671753,1.446658
1292.130493,1.446642
1295.588989,1.446627
1299.047363,1.446611
1302.505615,1.446596
1305.963745,1.446581
1309.421753,1.446566
1312.879639,1.446551
1316.337158,1.446536
1319.794678,1.446521
1323.252075,1.446507
1326.709229,1.446492
1330.16626,1.446478
1333.623291,1.446463
1337.079834,1.446449
1340.536377,1.446435
1343.99292,1.446421
1347.448975,1.446407
1350.905029,1.446393
1354.360962,1.44638
1357.81665,1.446366
1361.272095,1.446353
1364.727295,1.446339
1368.182495,1.446326
1371.637451,1.446313
1375.092163,1.4463
1378.546753,1.446287
1382.001221,1.446274
1385.455322,1.446262
1388.909302,1.446249
1392.363037,1.446236
1395.81665,1.446224
1399.27002,1.446211
1402.723145,1.446199
1406.176025,1.446187
1409.628784,1.446175
1413.081299,1.446163
1416.533691,1.446151
1419.985718,1.446139
1423.437622,1.446127
1426.889282,1.446116
1430.340698,1.446104
1433.79187,1.446092
1437.24292,1.446081
1440.693604,1.44607
1444.144165,1.446058
1447.594482,1.446047
1451.044434,1.446036
1454.494263,1.446025
1457.943726,1.446014
1461.393066,1.446003
1464.842163,1.445992
1468.291016,1.445982
1471.739502,1.445971
1475.187866,1.445961
1478.635986,1.44595
1482.08374,1.44594
1485.53125,1.445929
1488.978516,1.445919
1492.425537,1.445909
1495.872314,1.445899
1499.318726,1.445888
1502.764893,1.445879
1506.210938,1.445868
1509.656494,1.445859
1513.101929,1.445849
1516.547119,1.445839
1519.991943,1.445829
1523.436401,1.44582
1526.880615,1.44581
1530.324585,1.445801
1533.768311,1.445791
1537.21167,1.445782
1540.654785,1.445773
1544.097534,1.445764
1547.540039,1.445754
1550.982178,1.445745
1554.424072,1.445736
1557.865723,1.445727
1561.307007,1.445718
1564.747925,1.445709
1568.188721,1.445701
1571.629028,1.445692
1575.06897,1.445683
1578.508667,1.445675
1581.947998,1.445666
1585.387085,1.445657
1588.825928,1.445649
1592.264282,1.445641
1595.702393,1.445632
1599.140137,1.445624
1602.577515,1.445616
1606.014526,1.445608
1609.451294,1.445599
1612.887695,1.445591
1616.32373,1.445583
1619.759521,1.445575
1623.194824,1.445567
1626.629761,1.44556
1630.064453,1.445552
1633.498779,1.445544
1636.932739,1.445536
1640.366455,1.445529
1643.799561,1.445521
1647.232422,1.445513
1650.664795,1.445506
1654.097046,1.445498
1657.528687,1.445491
1660.960205,1.445483
1664.391235,1.445476
1667.821899,1.445469
1671.252197,1.445461
1674.682007,1.445454
1678.111572,1.445447
1681.540649,1.44544
1684.96936,1.445433
1688.397705,1.445426
