2% Long Anneal

wavelength (microns), Re(index)
1.37888, 1.47863
1.37855, 1.47863
1.37855, 1.47863
1.37817, 1.47864
1.37746, 1.47864
1.37674, 1.47865
1.37603, 1.47865
1.37532, 1.47865
1.37509, 1.47866
1.37509, 1.47866
1.37461, 1.47866
1.3739, 1.47866
1.3732, 1.47867
1.3732, 1.47867
1.37249, 1.47867
1.37178, 1.47868
1.37164, 1.47868
1.37164, 1.47868
1.37108, 1.47868
1.37037, 1.47869
1.36967, 1.47869
1.36896, 1.4787
1.36826, 1.4787
1.36818, 1.4787
1.36818, 1.4787
1.36756, 1.4787
1.36685, 1.47871
1.36615, 1.47871
1.36545, 1.47872
1.36475, 1.47872
1.36473, 1.47872
1.36473, 1.47872
1.36406, 1.47873
1.36336, 1.47873
1.36266, 1.47874
1.36196, 1.47874
1.36127, 1.47875
1.36127, 1.47875
1.36127, 1.47875
1.36057, 1.47875
1.35988, 1.47876
1.35918, 1.47876
1.35849, 1.47877
1.35782, 1.47877
1.35782, 1.47877
1.3578, 1.47877
1.35711, 1.47877
1.35642, 1.47878
1.35573, 1.47878
1.35573, 1.47878
1.35504, 1.47879
1.35436, 1.47879
1.35436, 1.47879
1.35435, 1.47879
1.35366, 1.4788
1.35297, 1.4788
1.35228, 1.47881
1.3516, 1.47881
1.35091, 1.47882
1.35091, 1.47882
1.35091, 1.47882
1.35023, 1.47882
1.34954, 1.47883
1.34886, 1.47883
1.34818, 1.47884
1.3475, 1.47884
1.34745, 1.47884
1.34745, 1.47884
1.34681, 1.47884
1.34613, 1.47885
1.34545, 1.47885
1.34478, 1.47886
1.3441, 1.47886
1.34399, 1.47886
1.34399, 1.47886
1.34342, 1.47887
1.34274, 1.47887
1.34207, 1.47888
1.34139, 1.47888
1.34071, 1.47889
1.34054, 1.47889
1.34054, 1.47889
1.34004, 1.47889
1.33937, 1.4789
1.33869, 1.4789
1.33869, 1.4789
1.33802, 1.47891
1.33735, 1.47891
1.33708, 1.47891
1.33708, 1.47891
1.33668, 1.47892
1.33601, 1.47892
1.33534, 1.47892
1.33467, 1.47893
1.334, 1.47893
1.33362, 1.47894
1.33362, 1.47894
1.33333, 1.47894
1.33267, 1.47894
1.332, 1.47895
1.33133, 1.47895
1.33067, 1.47896
1.33017, 1.47896
1.33017, 1.47896
1.33, 1.47896
1.32934, 1.47897
1.32868, 1.47897
1.32802, 1.47898
1.32735, 1.47898
1.32671, 1.47899
1.32671, 1.47899
1.32669, 1.47899
1.32603, 1.47899
1.32537, 1.479
1.32471, 1.479
1.32406, 1.47901
1.3234, 1.47901
1.32325, 1.47901
1.32325, 1.47901
1.32274, 1.47902
1.32208, 1.47902
1.32208, 1.47902
1.32143, 1.47903
1.32077, 1.47903
1.32012, 1.47903
1.31979, 1.47904
1.31979, 1.47904
1.31947, 1.47904
1.31881, 1.47904
1.31816, 1.47905
1.31751, 1.47905
1.31686, 1.47906
1.31634, 1.47906
1.31634, 1.47906
1.31621, 1.47906
1.31556, 1.47907
1.31491, 1.47907
1.31426, 1.47908
1.31361, 1.47908
1.31296, 1.47909
1.31288, 1.47909
1.31288, 1.47909
1.31232, 1.47909
1.31167, 1.4791
